Sr_No,Category,Date,Subject,Status
"2.2.12","ADMINISTRATION","03.11.2023","Schedule of expenses and fees payable to the Member(s) of Dispute Review Board (DRB) - reg.","Pending"
"2.2.13","ADMINISTRATION","28.11.2024","Standard Operating Procedure (SOP) for Empanelment/ De-empanelment of Members to the Dispute Resolution Boards (DRBs)","Pending"
"2.2.14","ADMINISTRATION","28.02.2025","Age Criteria for Empanelment & De-empanelment of Dispute Resolution Board (DRB) Members – reg.","Pending"
"2.2.15","ADMINISTRATION","01.03.2025","Site Visits for DRB Members-reg.","Pending"
"2.2.2","ADMINISTRATION","25.10.2005","Procedure for referring the Arbitral Award to the Court of Law.","Pending"
"2.2.3","ADMINISTRATION","10.01.2008","Fee and other expenses payable to the DisputeREview Experts and Dispute Review Board Members.","Pending"
"2.2.4","ADMINISTRATION","21.05.2009","Ensuring uniformity of guidelines and procedure on various issues including on the Dispute Resolution by DRB & Arbitration award.","Pending"
"2.2.5","ADMINISTRATION","09.07.2010","Procedure for appointment of DRB Member/ Arbitrator/ Advocate/ Techno Legal Expert etc. in case of disputes relating to SPVs.","Pending"
"2.2.6","ADMINISTRATION","23.08.2010","Guidelines for decision on the recommendations of DRE/DRB/DAB on NHAI projects.","Pending"
"2.2.7","ADMINISTRATION","25.05.2011","Procedure for referring the decision of DRB to Arbitration.","Pending"
"2.2.8","ADMINISTRATION","29.06.2011","Procedure for ferring the decision of DRB to Arbitration","Pending"
"2.2.9","ADMINISTRATION","25.10.2011","Delays in works by the contractors/ concessionaires","Pending"
"2.3.1","ADMINISTRATION","21.10.2005","Charges for conducting arbitral proceedings in Conference Room at NHAI;Dwarka.","Pending"
"2.3.10","ADMINISTRATION","24.05.2016","Fee of Arbitrators in case of Civil Engineering Construction Contracts / Supervision consultant","Pending"
"2.3.11","ADMINISTRATION","24.05.2016","Time frame for dealing with Arbitration Awards","Pending"
"2.3.2","ADMINISTRATION","13.01.2010","Fee of arbitrators in case of civil Engineering construction contracts/ supervision consultant.","Pending"
"2.3.3","ADMINISTRATION","06.09.2010","Guidelines for processing Arbitral Awards.","Pending"
"2.3.4","ADMINISTRATION","8.5.2013","Procedure for referring the matter for arbitration/ filing an appeal.","Pending"
"2.3.5","ADMINISTRATION","25.7.2013","Procedure for ferring the matter for arbitration/ filing petition or appeal in court of law.","Pending"
"2.3.6","ADMINISTRATION","22.11.2013","Filing of appeals in arbitration matters before the courts of law.","Pending"
"2.3.7","ADMINISTRATION","19.2.2014","Strict compliance of the contractual and statutory provision for appointment of arbitrator by NHAI.","Pending"
"2.3.8","ADMINISTRATION","13.06.2014","Procedure for challenging the Arbitral Award passed by majority of Arbitrators and also containing Dissenting Note of one Arbitrator.","Pending"
"2.3.9","ADMINISTRATION","3.12.2015","Amendment of Procedure for referring the matter for arbitration/ filing an appeal.","Pending"
"2.4.1","ADMINISTRATION","14.03.2013","Constitution of Independent Settlement Advisory Committee (ISAC)-Dispute Resolution Mechanism.","Pending"
"2.4.2","ADMINISTRATION","16.12.2013","Fast tracking of settlement mechanism","Pending"
"2.4.3","ADMINISTRATION","29.08.2014","Settlement of disputes.","Pending"
"2.4.4","ADMINISTRATION","18.09.2014","Expeditious implementation of Negotiated settlements approved by Executive Committee/NHAI Board-reg.","Pending"
"2.4.5","ADMINISTRATION","11.11.2014","Independent Settlement Mechanism-Submission of undertaking by Authorized Representative of the contractor and finalization of Settlement agreement.","Pending"
"2.4.6","ADMINISTRATION","24.02.2015","Fast tracking of Settlement mechanism-revised Delegation of powers by Authority to the Executive Committee of NHAI.","Pending"
"2.4.7","ADMINISTRATION","27.11.2015","Dispute Resolution Mechanism- Independent Settlement Advisory Committee (ISAC)","Pending"
"2.4.8","ADMINISTRATION","03.01.2022","Committee to take a call on conciliation/ amicable settlement where settlement amount of the case is more than Rs. 100 cr.","Pending"
"2.4.9","ADMINISTRATION","07.07.2022","Constitution of Committee in NHAI HQ in terms of the directions of MoRTH for deliberation in respect of arbitral awards/ court orders where amount involved is below Rs.100 Cr. - reg.","Pending"
"2.5.1","ADMINISTRATION","30.06.2003","Engagement of legal firms/ advocates","Pending"
"2.5.10","ADMINISTRATION","06.09.2017","Empanelment of Law Firms / Advocates in ROs / PIUs of NHAI 2017 - reg.","Pending"
"2.5.11","ADMINISTRATION","17.05.2019","Guidelines on Reimbursement for increase/recovery for decrease in Royalty rates of minor minerals under Change in Law in EPC/DBFOT projects.","Pending"
"2.5.12","ADMINISTRATION","15.10.2019","Format for Indemnity Bond to be obtained from Concessionaire / Contractor in compliance to para 3.5 of NHAI / Policy Guidelines/EPC & DBFOT Contract/2019 no. 2.5.11/2019 dated 17th May; 2019.","Pending"
"2.5.13","ADMINISTRATION","31.12.2019","Claims before the Arbitral Tribunals on behalf of NHAI","Pending"
"2.5.14","ADMINISTRATION","31.12.2019","Submission of Statement of Defense and Counter-claims before the Arbitral Tribunals on behalf of NHAI","Pending"
"2.5.15","ADMINISTRATION","27.01.2020","Addendum to SOP/Guidelines on Reimbursement for increase/recovery for decrease in Royalty rates of minor minerals under Change in Law in EPC/DBFOT projects. (NHAI /Policy Guidelines EPC & DBFOT Contracts/2019 no. 2.5.11/2019 dt. 17.05.2019.","Pending"
"2.5.16","ADMINISTRATION","13.05.2020","Engagement of Advocates- Experience reg","Pending"
"2.5.17","ADMINISTRATION","13.03.2025","Clarification on Policy Guidelines No. 2.05.11/2019 dated 17.05.2019 regarding payment of Royalty after Hon’ble Supreme Court Judgement dated 25.07.2024 passed in Civil Appeal Nos. 4056-4064 of 1999; Mineral Area Development Authority & Anr. (Appellants) Vs. M/s Steel Authority of India & Anr. (Respondents)","Pending"
"2.5.2","ADMINISTRATION","28.01.2005","Legal opinion on contract clauses and other aspects.","Pending"
"2.5.3","ADMINISTRATION","30.07.2009","Guidelines for seeking expert legal opinion from law firms(s)/ counsel(s);Solicitor/Additional Solicitor General of India.","Pending"
"2.5.4","ADMINISTRATION","01.4.2013","Guidelines for seeking expert legal opinion from Law/ firms/counsels/SG/ASGI","Pending"
"2.5.5","ADMINISTRATION","6.2.2014","Fixing of affidavits on issues of Policy Matters before any courts of law in consultation with MoRT&H","Pending"
"2.5.6","ADMINISTRATION","10.10.2014","Guidelines for seeking legal opinion from law firms/ counsels.","Pending"
"2.5.7","ADMINISTRATION","10.10.2014","Guidelines for seeking legal opinion etc from Law firms/ advocates and engaging them for litigation","Pending"
"2.5.8","ADMINISTRATION","10.09.2015","Detailing advocates for court cases at the level of RO/ PD","Pending"
"2.5.9","ADMINISTRATION","27.11.2015","Dispute with regards reimbursement of royalty charges due to subsequent legislation. - Final Order of Hon'ble Supreme Sourt.","Pending"
"2.6.1","ADMINISTRATION","24.2.2003","Payment of retainership fee (Contractor\`s Share) of Dispute Review Expert/ Member or Chairman of Dispute Review Board after release of final bill payment.","Pending"
"2.6.2","ADMINISTRATION","01.03.2004","Payment of legal charges","Pending"
"2.7.1","ADMINISTRATION","27.03.2003","Fee or arbitrators in case of Civil Engineering Construction Contracts.","Pending"
"2.7.2","ADMINISTRATION","31.05.2004","Fee of Arbitrators in the cases of Civil Engineering construction contracts/ supervision consultancies.","Pending"
"2.7.3","ADMINISTRATION","17.08.2006","Engagement of Techno Legal Experts to deal the Arbitration cases on behalf of NHAI.","Pending"
"2.7.4","ADMINISTRATION","07.01.2008","Fee of arbitrators in case of civil engineering construction contracts/ supervision consultant.","Pending"
"2.7.5","ADMINISTRATION","29.09.2008","Charges for conducting Arbitral Proceedings out side NHAI premises.","Pending"
"2.7.6","ADMINISTRATION","04.08.2009","Entering into Supplementary Agreement on schedule of fee and other expenses of Arbitrators.","Pending"
"2.7.7","ADMINISTRATION","01.04.2013","Entering into Supplementary Agreement on schedule of fee and other expenses of Arbitrators.","Pending"
"2.7.8","ADMINISTRATION","8.5.2013","Entering into Supplementary Agreement on schedule of fee and other expenses of Arbitrators- amendment to Policy Circular No.Admn/Fin/109/2013 dated 01.04.2013","Pending"
"2.8.1","ADMINISTRATION","14.03.2006","Payment of legal charges","Pending"
"2.8.2","ADMINISTRATION","24.12.2010","Schedule of fee for legal charges to advocates/Techno Legal Experts/ Law firms.","Pending"
"2.8.3","ADMINISTRATION","19.12.2011","Schedule of fee for legal charges to advocates/Techno Legal Experts/ Law firms.","Pending"
"2.8.4","ADMINISTRATION","24.01.2012","Clarifications to Schedule of Fee for Legal Charges to Advocates/ Techno legal Experts/ Law Firms.","Pending"
"2.8.5","ADMINISTRATION","15.05.2012","Clarificatin to Schedule of fee for legal charges for advocates/ Techno legal experts/ Law firms given on effective and non effective hearing and admissibility of professional fee of the advocates.","Pending"
"2.8.6","ADMINISTRATION","04.06.2014","Schedule of fee for legal charges to advocates/Techno Legal Experts/ Law firms.","Pending"
"2.8.7","ADMINISTRATION","31.7.2015","Schedule of fee for legal charges to advocates/ Techno legal expert/ law firms- amendment to Policy Circular Admn/ Fin (140/2014) dated 4.6.2014","Pending"
"2.8.8","ADMINISTRATION","12.02.2016","Accounting the experience of subsidiaries in the technical evaluation of the holding/main company.","Pending"
"3.1.1","ADMINISTRATION","02.08.2002","Maintenance and release of bank guarantees","Pending"
"3.1.10","ADMINISTRATION","15.03.2004","Procedure for seeking ension or invocation of the bank Guarantee(s)","Pending"
"3.1.11","ADMINISTRATION","18.11.2004","Acceptance of the bank guarantees","Pending"
"3.1.12","ADMINISTRATION","14.02.2005","Acceptance of the bank guarantees","Pending"
"3.1.13","ADMINISTRATION","04.01.2007","Non-acceptance of certified cheques as instrument of accepting the bid security-reg.","Pending"
"3.1.14","ADMINISTRATION","28.06.2007","Procedure for seeking invocation of the Bank Guarantee(s)","Pending"
"3.1.15","ADMINISTRATION","16.07.2012","Invocation of Bank Guarantee","Pending"
"3.1.16","ADMINISTRATION","14.9.2012","Acceptance of the bank guarantees","Pending"
"3.1.17","ADMINISTRATION","30.10.2012","Guidelines for maintenance and release of bank guarantees","Pending"
"3.1.18","ADMINISTRATION","27.11.2013","Changes in BG operation and holding guidelines.","Pending"
"3.1.19","ADMINISTRATION","24.01.0014","Changes in operation and maintenance of Bank Guarantees","Pending"
"3.1.2","ADMINISTRATION","16.09.2002","Guidelines for acceptance of Bank Guarantees","Pending"
"3.1.20","ADMINISTRATION","02.07.2014","Modified proforma for Omnibus Bank Guarantee for Consultancy assignments on National Highways & related Centrally sponsored works.","Pending"
"3.1.21","ADMINISTRATION","30.12.2014","Delegation of Powers to CGMs regarding shifting of uitlities;extension of time in consultancy contracts and encashment/release of BGs.","Pending"
"3.1.22","ADMINISTRATION","23.01.2018","Policy for submission of all types of Bank Guarantee linking through Structured Financial Message System (SFMS) and its verifications of genuineness.","Pending"
"3.1.23","ADMINISTRATION","10.09.2018","Acceptance of Bank Guarantee from Successful / Selected Bidder.","Pending"
"3.1.24","ADMINISTRATION","01.10.2018","Policy for release of Bank Guarantees submitted by the Concesionaires/Contractors towards Mobilisation Advances in Hybrid Annuity (HAM)/EPC Contracts.","Pending"
"3.1.25","ADMINISTRATION","04.09.2019","Acceptance of Performance Bank Guarantee","Pending"
"3.1.26","ADMINISTRATION","13.03.2020","Procedure for seeking extension; replacement or invocation of the Bank Guarantee(s)","Pending"
"3.1.27","ADMINISTRATION","19.11.2020","Instruction of Ministry of Finance; Department of Expenditure regarding (i) Performance Security; (ii) Additional Security Deposit/Bank Guarantee(BG) in case of Abnormally Low Bids (ALBs) and (iii) Bid Security/ Earnest Money Deposit","Pending"
"3.1.28","ADMINISTRATION","29.12.2020","Delegation of Power to reduce the Performance Security Bank Guarantee (PSBG) to 3% of contract value.","Pending"
"3.1.29","ADMINISTRATION","06.01.2021","Instructions of Department of Expenditure; Ministry of Finance vide OM dated 12.11.2020 (3 Nos) regarding (i) Performance Security; (ii) Additional Security Deposit/ Bank Guarantee (BG) in case of Abnormally Low Bids (ALBs) and (iii) Bid Security/ Earnest","Pending"
"3.1.3","ADMINISTRATION","23.09.2002","Guidelines for release of Retention Money against Bank Guarantee","Pending"
"3.1.30","ADMINISTRATION","20.01.2021","Additional Security Deposit/ BG in case of Abnormally Low Bids (ALBs).","Pending"
"3.1.31","ADMINISTRATION","24.06.2021","Amendment to proforma for Omnibus Bank Guarantee for Consultancy Assignment on National Highways-reg.","Pending"
"3.1.33","ADMINISTRATION","28.02.2022","Reinstatement of provision of Earnest Money Deposit (EMD) in bids for highway projects - reg.","Pending"
"3.1.34","ADMINISTRATION","31.05.2022","Performance Security- reg.","Pending"
"3.1.35","ADMINISTRATION","31.05.2022","Releasing of Additional Performance Security against Abnormally Low bids in Existing ongoing Contracts- reg.","Pending"
"3.1.36","ADMINISTRATION","05.12.2022","Amendment in General Financial Rule (GFR); 2017 – Acceptance of electronic Bank Guarantee (e-BG)  - reg.","Pending"
"3.1.37","ADMINISTRATION","19.12.2022","Corrigendum to Circular No. 3.1.36/2022 dated 05.12.2022 on the subject ‘Amendment in General Financial Rule (GFR); 2017 – Acceptance of electronic Bank Guarantee (e-BG)’ - reg.","Pending"
"3.1.38","ADMINISTRATION","23.12.2022","Acceptance of ‘Bid Security and Performance Security’ as physical Bank Guarantee till 31.03.2023","Pending"
"3.1.39","ADMINISTRATION","17.05.2023","Acceptance of ‘Bid Security and Performance Security’ as physical Bank Guarantee along with e-BG till 31.12.2023","Pending"
"3.1.4","ADMINISTRATION","20.12.2002","Guidelines for release of Retention Money against Bank Guarantee","Pending"
"3.1.40","ADMINISTRATION","01.07.2024","Amendment in General Financial Rule (GFR); 2017- Acceptance of Electronic Bank Guarantee (e-BG) - reg.","Pending"
"3.1.41","ADMINISTRATION","02.01.2025","Inclusion of Provisions regarding accepting Insurance Surety Bonds (ISB) for Mobilization Advance in EPC Contracts - reg.","Pending"
"3.1.5","ADMINISTRATION","05.05.2003","Guidelines for acceptance of Bank Guarantees","Pending"
"3.1.6","ADMINISTRATION","28.8.2003","Interest @6% p.a. on early release of retention money","Pending"
"3.1.7","ADMINISTRATION","21.10.2003","Format of the Bank Guarantee for release of Retention Money","Pending"
"3.1.8","ADMINISTRATION","25.02.2004","Charge of interst at SBI PLR plus 2% for grant of additional advance or for deferment of recovery of advances","Pending"
"3.1.9","ADMINISTRATION","03.03.2004","BG format for payment of discretionary/ additional mobilization advance.","Pending"
"3.2.1","ADMINISTRATION","05.05.2003","Guidelines for release of payments to contractors/ consultants","Pending"
"3.2.10","ADMINISTRATION","08.03.2019","Extension of Applicability of the circular no. NHAI/CGM(F&A)/2013 on securitization of future cash flow in BOT (Toll) Projects to BOT (Annuity) Projects.","Pending"
"3.2.11","ADMINISTRATION","18.11.2019","Relaxation of Sanction limits for making payments till 31.12.2019","Pending"
"3.2.12","ADMINISTRATION","05.12.2019","Allowing securitization of future cash flows in Hybrid Annuity Projects in line with BOT (Toll) and BOT (Annuity) Projects","Pending"
"3.2.13","ADMINISTRATION","04.05.2020","Monthly review by Member (F) of the matters involving revenue generation and expenditure with concerned divisions of NHAI","Pending"
"3.2.14","ADMINISTRATION","16.10.2020","Standard Operating Procedure (SOP) for release of payments to the Contactors in terms of CCEA Decisions; conveyed vide NITI Aayog OM dated 28.11.2019.","Pending"
"3.2.15","ADMINISTRATION","23.01.2024","Guidelines for Fast Tracking Payment in the Last Quarter of FY-2023-24– reg.","Pending"
"3.2.16","ADMINISTRATION","28.10.2024","Advance Planning Sanction’ of the projects awaiting Administrative and Financial sanction from Standing Finance Committee (SFC)/ Government of India- reg.","Pending"
"3.2.2","ADMINISTRATION","13.05.2004","Audit observations","Pending"
"3.2.3","ADMINISTRATION","06.07.2007","Implementing E-payments through Electronic Transfer","Pending"
"3.2.4","ADMINISTRATION","08.02.2008","Accounting procedures for payment made to Government agencies for preconstruction activities.","Pending"
"3.2.5","ADMINISTRATION","07.03.2008","Release of fund to PIU/CMUs","Pending"
"3.2.6","ADMINISTRATION","27.8.2008","Banking of receipt on sale of tenders and deposit of earnest money in the form of DD/ Bankers cheque.","Pending"
"3.2.7","ADMINISTRATION","17.04.2009","Issue of Debit /Credit Advices by PIUs/ CMUs for timely settlement of inter-unit transactions.","Pending"
"3.2.8","ADMINISTRATION","04.08.2009","Procedures for payment of claims of contractors/ consultants/ vendors etc.","Pending"
"3.2.9","ADMINISTRATION","10.11.2010","Standardization of procedure for financial scrutiny of the payment proposals by Finance Division in NHAI HQ.","Pending"
"3.3.1","ADMINISTRATION","21.03.2002","Investment of surplus funds","Pending"
"3.3.10","ADMINISTRATION","11.11.2011","Operation of Bank Accounts of RO/PIU/CMUs in the event of repatriation of one of the signatory","Pending"
"3.3.11","ADMINISTRATION","04.05.2012","Change in policy for charging depreciation on the capitalized fixed assets of Authority","Pending"
"3.3.12","ADMINISTRATION","07.05.2012","Remittance of statutory Taxes (TDS;TCS etc.) through e-payment from a separate Account.","Pending"
"3.3.13","ADMINISTRATION","05.03.2013","Liability of the Service Tax payable on the services as per notification no 30/2012-ST dated 20/6/2012","Pending"
"3.3.14","ADMINISTRATION","29.09.2017","Clarification on Applicability of GST on Hybrid Annuity Projects; which are in bidding stage for uniformity-reg.","Pending"
"3.3.15","ADMINISTRATION","04.10.2017","Standard Operating Procedure on Implementation of GST Act; 2017","Pending"
"3.3.16","ADMINISTRATION","04.10.2017","Implementation of GST Act; 2017 in NHAI - Consequential Changes in Law; Procedure to be followed for various payments - reg.","Pending"
"3.3.17","ADMINISTRATION","23.10.2017","Implementation of GST Act; 2017 in NHAI- Exemption of application of GST on Annuity payments-reg.","Pending"
"3.3.18","ADMINISTRATION","17.11.2017","Payment of GST to the Consultants/Contractors/Service providers/other Vendors reg.","Pending"
"3.3.19","ADMINISTRATION","12.07.2019","Charging of GST on the Estimated Cost of the work against raising/shifting of utility by utility owning agencies (in addition to the supervision charge & block charges including GST).","Pending"
"3.3.2","ADMINISTRATION","05.09.2002","Tax deduction at source of Medical Reimbursement","Pending"
"3.3.20","ADMINISTRATION","29.07.2019","Standard Operating Procedur for HAM Concessionaire due to Change in Law on account of introduction of GST Act;2017-reg.","Pending"
"3.3.21","ADMINISTRATION","01.09.2021","Clarification regarding applicability of GST on the activity of construction of road where considerations are received in deferred payment HAM (Annuity) – reg.","Pending"
"3.3.22","ADMINISTRATION","22.11.2021","Clarification regarding applicability of GST on payment of Annuity under BOT projects completed before implementation of GST on 01.07.2017- reg.","Pending"
"3.3.23","ADMINISTRATION","24.11.2021","Clarification regarding applicability of GST on payment of Annuity under BOT projects completed before implementation of GST on 01.07.2017- reg.","Pending"
"3.3.24","ADMINISTRATION","24.11.2021","Corrigendum to Policy Circular No. 3.3.23/2021 dated 24th November 2021 - reg.","Pending"
"3.3.25","ADMINISTRATION","07.12.2021","Bearing the Additional Income Tax liability on perquisite of accommodation provided to NHAI’s employees who occupy NHAI’s Residential Accommodation as per the provision of Section 10 (10CC) of Income Tax Act; 1961","Pending"
"3.3.26","ADMINISTRATION","24.11.2022","Clarification regarding calculation of GST against change in rates from 18.07.2022 on the activity of construction of road in case of EPC projects under Change in Law - reg.","Pending"
"3.3.27","ADMINISTRATION","23.12.2022","Clarification regarding applicability of GST on the activity of construction of road under HAM projects","Pending"
"3.3.28","ADMINISTRATION","17.01.2023","Clarification regarding applicability of GST on payment of Annuity under BOT projects completed before implementation of GST on 01.07.2017.","Pending"
"3.3.29","ADMINISTRATION","27.04.2023","Issues Pertaining to Change in Law due to GST and Clarification","Pending"
"3.3.3","ADMINISTRATION","26.02.2004","Books of accounts to be maintained in PIU.","Pending"
"3.3.30","ADMINISTRATION","03.05.2023","Clarification regarding Applicability of GST on BOT (Toll) Projects and Payment of GST under change in law on BOT (Toll) Projects","Pending"
"3.3.31","ADMINISTRATION","16.05.2024","Acceptance of GST Audit Report and Payment of GST to the Contractors & Concessionaires under Change in Law and Clarification against regular monthly payment of GST to the Consultants/Contractors/Service providers/other Vendors","Pending"
"3.3.32","ADMINISTRATION","27.05.2024","Acceptance of GST Audit Report and Payment of GST to the Contractors & Concessionaires under Change in Law and Clarification against regular monthly payment of GST to the Consultants/Contractors/Service providers/other Vendors - reg.","Pending"
"3.3.33","ADMINISTRATION","12.11.2024","Standard Operating Procedures for completion of GST Special Audit of Change in Law in Time-Bound Manner in respect of HAM Projects - reg.","Pending"
"3.3.4","ADMINISTRATION","25.05.2004","Procedure for operation of the bank accounts for strict compliance by all the PIUs/CMUs.","Pending"
"3.3.5","ADMINISTRATION","28.06.2005","Furnishing of PAN by contractors/ supervision consultants whose payment are subject to deduction/ collection of tax at source.","Pending"
"3.3.6","ADMINISTRATION","01.08.2007","Guidelines on computation and payment of Service Tax","Pending"
"3.3.7","ADMINISTRATION","22.03.2010","Accounting procedure and remittance of toll revenue;shared revenue and negative grant to Ministry for deposit in Consolidated Fund of India (CFI) w.e.f 1.4.2010","Pending"
"3.3.8","ADMINISTRATION","30.09.2010","Operation of Bank Account;accounting and disbursement by Zonal Office;Regional Office;SLO;PIUs/CMUs.","Pending"
"3.3.9","ADMINISTRATION","11.01.2011","Finalization of accounts for the FY 2010-11.","Pending"
"3.4.1","ADMINISTRATION","24.01.2007","Streamlining the procedure for submission of replies of the inspection report and audit paras to Government audit office-Setting up of Committee for expeditious disposal of audit observations.","Pending"
"3.4.2","ADMINISTRATION","25.03.2019","Regarding Standard Operating Procedure ( SOP ) for dealing with C&AG  Audit “providing requisite Records and submission of Replies and Action Taken Notes in a systematic; time bound manner.","Pending"
"3.4.3","ADMINISTRATION","24.10.2019","Guidelines for physical verification of assets","Pending"
"3.4.4","ADMINISTRATION","24.07.2020","Standard Operating Procedure for compliance of Internal Audit observations-reg.","Pending"
"3.5.1","ADMINISTRATION","19.04.2004","Maintaining of accounts with Canara Bank or Syndicate Bank by the PIUs.","Pending"
"3.5.10","ADMINISTRATION","30.11.2023","Standard Operating Procedure (SoP) for revised Structure of F & A Units at ROs/PIUs and new PIU centric Payment & Accounting; System in NHAI– reg.","Pending"
"3.5.2","ADMINISTRATION","06.11.2006","Operation of Bank Accounts by PIUs/CMUs.","Pending"
"3.5.3","ADMINISTRATION","12.05.2008","Guidelines issued by Ministry of Finance (Department of Expenditure) regardign Preference to public sector banks for handling Government transactions.","Pending"
"3.5.4","ADMINISTRATION","08.07.2009","Implementation of Core Banking solution (CBS) in NHAI with Syndicate Bank and Canara Bank.","Pending"
"3.5.5","ADMINISTRATION","13.07.2009","Timely submission of Records and Replies of Audit Observations to Govt Audit Party.","Pending"
"3.5.6","ADMINISTRATION","12.03.2020","Opening of Current Account for Project Operations in view of Moratorium imposed on YES BANK","Pending"
"3.5.7","ADMINISTRATION","04.08.2020","Operation of Imprest Cash amount at PIU-reg.","Pending"
"3.5.8","ADMINISTRATION","24.11.2020","Withdrawal of funds from CBS Accounts of NHAI- Release of Bulk Payments -Revision in limit of Bulk Payment-reg.","Pending"
"3.5.9","ADMINISTRATION","04.10.2023","Creation of Finance Wing under PDs/ROs and implementing arrangement of making large payments at NHAI (HQ) – reg.","Pending"
"3.6.1","ADMINISTRATION","12.04.2013","Guidelines for formulation;Appraisal and Approval of Government plan funded projecs/ Schemes related to Ministry of Road transport and Highways.","Pending"
"3.6.10","ADMINISTRATION","07.06.2023","Appraisal of the Projects under Bharatmala – Modifications in the constitution of Project Appraisal and Technical Scrutiny Committee (PATSC)- reg.","Pending"
"3.6.11","ADMINISTRATION","31.07.2023","भारतमाला के तहत परियोजनाओं का मूल्यांकन - (i) परियोजना मूल्यांकन एवं तकनीकी 	जांच समिति (पीएटीएससी); और (ii) आंतरिक मूल्यांकन समिति (आईएसी) के गठन में 	संशोधन।","Pending"
"3.6.12","ADMINISTRATION","19.09.2023","Appraisal of the Projects under Bharatmala - Modifications in the constitution of (i) Project Appraisal and Technical Scrutiny Committee (PATSC); and (ii) Internal Appraisal Committee (IAC)-reg.","Pending"
"3.6.13","ADMINISTRATION","06.10.2023","भारतमाला के तहत परियोजनाओं का मूल्यांकन - (i) परियोजना मूल्यांकन एवं तकनीकी 	जांच 	समिति (पीएटीएससी); और (ii) आंतरिक मूल्यांकन समिति (आईएसी) के गठन में 	संशोधन।","Pending"
"3.6.14","ADMINISTRATION","09.10.2023","भारतमाला के तहत परियोजनाओं का मूल्यांकन - (i) परियोजना मूल्यांकन एवं तकनीकी 	जांच 	समिति (पीएटीएससी); और (ii) आंतरिक मूल्यांकन समिति (आईएसी) के गठन में 	संशोधन।","Pending"
"3.6.15","ADMINISTRATION","08.03.2024","Appraisal of BOT (Toll) Projects through PPP Division-reg.","Pending"
"3.6.16","ADMINISTRATION","05.07.2024","Appraisal of Projects - Modifications in the constitution of (i) Project Appraisal and Technical Scrutiny Committees (PATSC); and (ii) Internal Appraisal Committees (IAC).","Pending"
"3.6.17","ADMINISTRATION","27.09.2024","Appraisal of the Projects - Modifications in the Constitution of (i) Project Appraisal and Technical Scrutiny Committees (PATSC) and (ii) Internal Appraisal Committees (IAC) - reg.","Pending"
"3.6.18","ADMINISTRATION","21.04.2025","Appraisal of the Projects - Modifications in the Constitution of (i) Project Appraisal and Technical Scrutiny Committees (PATSC) and (ii) Internal Appraisal Committees (IAC) - reg.","Pending"
"3.6.2","ADMINISTRATION","02.02.2018","Guidelines for Submission of Proposal for appraisal to Standing Committee (SCC)-reg.","Pending"
"3.6.3","ADMINISTRATION","20.07.2018","Appraisal of Projects under Bharatmala and NH(O) Modification in the constitution of Project Appraisal and Technical Scrutiny Committee (PATSC) & Internal Appraisal Committee (IAC) and discontinuation of Standing Cost Committee (SCC).","Pending"
"3.6.4","ADMINISTRATION","23.01.2020","Appraisal of the Projects under Bharatmala-Modification in the constitution of Project appraisal and Technical Scrutiny Committee (PATSC) & Internal Appraisal Committee (IAC)","Pending"
"3.6.5","ADMINISTRATION","27.07.2020","Appraisal of the Projects under Bharatmala - Modifications in the constitution of (i) Project Appraisal and Technical Scrutiny Committee (PATSC); and (ii) Internal Appraisal Committee (IAC).","Pending"
"3.6.6","ADMINISTRATION","07.10.2020","Appraisal of the Projects under Bharatmala - Modification in the constitution of (i) Project Appraisal and Technical Scrutiny Committee (PATSC); and (ii) Internal Appraisal Committee (IAC).","Pending"
"3.6.7","ADMINISTRATION","31.08.2021","Revised format for Appraisal and Approval of new Public Funded Schemes -reg.","Pending"
"3.6.8","ADMINISTRATION","27.01.2023","Appraisal of the Projects under Bharatmala – Modifications in the constitution of  (i) Project Appraisal and Technical Scrutiny Committee (PATSC); and (ii) Internal Appraisal Committee (IAC)","Pending"
"3.6.9","ADMINISTRATION","28.04.2023","Appraisal of the Projects under Bharatmala- Modifications in the Constitution of (i) Project Appraisal and Technical Scrutiny Committee (PATSC); and ( ii) Internal Appraisal Committee (IAC)","Pending"
"3.7.1","ADMINISTRATION","20.12.2013","Constitution of five member committee for supervision;monitoring and appointment of Financial Consultants to advice NHAI for bridging the gap between existing accounting practices followed by the Authority and the observations made by C&AG on the annual financial statements of Authority for 2012-13","Pending"
"3.8.1","ADMINISTRATION","06.05.2002","Essentiality Certificate for the goods required for the externally aided projects-reg.","Pending"
"3.8.10","ADMINISTRATION","30.03.2012","Authorization to issue Project Authority Certificate to signing of Deemed Export Certificate for \""Excise Duty Exemption Certificate\"" to be issued by NHAI in favour of the Contractor.","Pending"
"3.8.2","ADMINISTRATION","10.09.2002","Issue of certificates to the contractors for availment of customs/ central excise duty exemption","Pending"
"3.8.3","ADMINISTRATION","30.09.2004","Issue of certificates to the contractors for availment of customs/ central excise duty exemption","Pending"
"3.8.4","ADMINISTRATION","14.2.2005","Price escalation of Bitumen in respect of Externally Aided Projects (EAP) where certificate to avail either \`excise duty exemption\` or \`deemed export benefit\` is issued by NHAI in favour of the contractors.","Pending"
"3.8.5","ADMINISTRATION","22.02.2006","Loan register","Pending"
"3.8.6","ADMINISTRATION","21.08.2007","Maintenance of records for consumable items for availing duty drawback claims under \""Deemed Export Benefit\""","Pending"
